song_id,valence_mean,valence_std,arousal_mean,arousal_std
173,2.2,1.2293,4.6,1.7764
174,3.8,1.4757,4.0,1.6997
175,4.3,1.6364,3.7,1.4181
176,3.9,1.6633,2.4,1.7127
177,5.6,1.8379,4.8,1.4757
178,3.7,2.2136,2.8,2.201
179,6.0,2.0548,5.2,2.1499
180,5.9,1.4491,4.8,1.9889
181,2.5,0.97183,3.7,2.2136
182,3.7,2.1628,2.2,0.91894
184,3.4,1.1738,3.6,1.9551
185,4.6,1.4298,4.9,2.0248
186,4.0,1.6997,3.7,1.767
187,3.7,2.0575,2.5,1.9579
188,3.3,1.6364,4.0,1.633
189,7.1,1.6633,6.5,1.7159
190,3.1,1.3703,2.8,1.9322
191,6.3,2.0028,5.1,2.1318
192,6.1,0.56765,5.8,0.63246
193,3.0,1.4142,4.1,1.912
194,4.7,1.3375,2.7,1.8886
195,2.7,0.82327,4.2,2.044
196,4.5,1.7159,4.3,1.767
197,2.8,1.3984,2.2,1.4757
198,3.3,1.8886,1.9,0.73786
199,5.7,1.3375,5.3,1.567
201,4.8,1.6193,3.7,1.567
202,5.2,1.4757,4.6,1.4298
203,4.8,1.7512,3.5,2.0683
204,2.2,1.0328,3.6,2.1187
205,4.5,2.1213,3.0,1.4907
206,2.6,1.075,2.3,0.82327
207,4.8,2.5734,4.8,2.201
208,6.5,1.0801,4.8,2.1499
209,4.6,1.9551,3.1,0.99443
210,5.5,2.273,4.2,2.2509
211,4.9,0.8756,3.1,1.2867
212,5.4,1.8974,4.6,1.6465
213,2.5,1.7159,2.6,1.5776
214,4.1,1.6633,3.6,2.0656
215,2.6,1.2649,3.2,2.201
216,5.3,1.1595,4.5,1.6499
217,4.8,1.6865,3.5,1.6499
218,4.0,1.5635,2.9,1.4491
219,3.8,1.5492,2.4,0.84327
220,3.4,1.075,4.1,1.5951
221,3.4,1.8974,4.3,1.6364
222,4.3,2.4967,3.8,1.3984
223,3.5,2.273,2.2,1.1353
224,5.7,1.8886,5.5,1.5811
225,4.2,1.6865,3.7,1.9465
226,5.0,1.633,4.9,1.792
227,3.5,1.5811,3.1,1.1972
228,4.0,1.3333,3.5,1.7159
229,4.8,1.5492,4.8,1.6865
231,5.6,1.7764,4.1,1.5239
232,2.7,1.0593,2.5,1.8409
233,4.5,1.9003,4.7,1.567
234,3.9,1.5239,3.5,2.5055
235,3.7,1.4181,3.0,1.1547
236,2.4,1.2649,2.5,1.5811
237,3.9,1.3703,4.2,2.201
238,4.6,1.8974,3.0,2.0548
239,3.3,1.6364,2.3,2.0028
240,6.6,1.075,6.4,1.4298
241,4.6,1.4298,4.1,2.2336
242,4.7,1.6364,3.5,1.8409
243,4.1,2.2828,7.2,1.4757
244,4.2,1.7512,4.3,1.4181
245,6.1,1.6633,4.2,2.0976
246,3.2,2.1499,4.9,2.8067
247,4.5,1.354,3.9,1.2867
248,3.7,1.0593,3.4,1.6465
250,3.6,1.4298,3.4,2.1705
253,2.5,0.84984,6.6,1.6465
254,7.4,1.1738,5.3,2.406
257,6.9,1.792,7.6,1.5776
258,4.3,1.4181,4.3,1.4181
260,3.6,1.7127,5.3,1.4944
262,6.9,0.99443,5.6,1.5776
264,5.5,1.5811,5.3,1.3375
265,6.4,0.69921,4.5,1.7795
266,4.8,2.044,3.6,1.5776
269,4.8,2.044,4.3,1.8288
270,7.1,1.7288,6.1,1.7288
272,6.4,1.9551,5.9,1.912
273,7.2,0.91894,5.4,1.8379
274,6.0,2.1082,7.7,0.94868
275,5.5,1.0801,5.3,1.4944
276,5.3,1.767,6.1,1.5951
278,5.1,1.7288,5.5,2.1731
279,4.7,1.4944,3.6,1.2649
280,3.3,1.1595,4.2,1.7512
281,7.0,1.2472,5.4,2.4129
282,4.2,0.78881,3.2,1.7512
284,5.2,1.2293,4.4,1.5776
285,5.1,1.4491,3.5,1.0801
286,6.9,1.9692,5.7,2.0575
288,5.2,1.8738,3.5,1.9579
289,6.7,1.0593,5.7,2.0028
290,3.9,1.6633,2.1,0.8756
292,7.4,0.96609,7.3,1.0593
293,4.2,2.044,6.3,1.7029
294,6.5,2.0138,5.5,2.2236
296,5.7,1.3375,5.9,0.99443
297,3.6,1.4298,3.1,1.3703
298,5.4,1.7764,4.0,1.8257
299,4.3,1.3375,2.8,1.9889
300,4.5,1.9579,6.8,1.1353
301,3.7,1.8288,3.2,1.5492
302,7.0,1.5635,6.6,2.319
303,6.4,1.8379,7.0,1.1547
304,4.6,1.7764,3.8,1.8738
305,6.8,1.0328,6.4,1.1738
306,6.7,1.8288,5.7,2.3118
307,6.8,1.4757,6.1,1.1005
308,6.6,0.96609,4.3,1.767
309,5.8,1.8738,5.3,1.767
310,2.7,1.0593,2.1,0.8756
311,6.9,0.99443,5.8,1.6865
312,5.8,1.6865,4.6,1.3499
313,5.3,1.3375,3.6,1.4298
314,5.9,1.2867,5.8,1.2293
315,7.5,0.84984,6.4,1.5055
316,3.5,2.0683,2.8,1.3984
317,4.3,1.4181,6.1,1.792
318,5.9,1.5239,5.9,1.792
319,6.6,0.84327,4.5,2.0683
320,6.6,1.5055,7.4,1.3499
321,6.0,1.8257,7.3,0.82327
322,7.6,1.075,6.1,1.2867
323,5.7273,1.5551,4.8182,1.4709
324,4.7,1.4944,3.3,1.767
325,5.4,2.1705,5.5,1.8409
326,7.2,1.3166,5.4,1.6465
327,7.1,1.3703,6.0,1.4142
328,4.2,2.201,5.2,1.6865
329,4.2,2.3476,3.3,2.406
330,3.1,1.9692,5.9,2.4244
332,6.9,0.8756,5.5,1.1785
333,6.1,1.792,6.7,1.6364
334,5.9,2.0248,5.9,1.7288
335,6.8,1.3984,6.8,1.5492
336,6.6,1.5776,6.1,1.5951
338,3.8,1.5492,3.0,0.8165
339,6.9,1.1972,5.9,1.6633
340,4.6,2.0111,3.8,2.4855
341,4.4,1.7764,3.8,1.8738
342,5.1,2.2336,4.0,2.1602
343,8.1,0.8756,7.0,1.8257
344,5.2,1.6865,4.6,1.8379
345,6.5,1.9579,7.2,1.6193
346,7.3,1.6364,6.7,1.0593
347,5.8182,0.98165,3.8182,0.98165
348,5.7,1.8288,5.0,1.633
349,5.8,1.9889,4.6,1.7764
350,6.5,1.9003,6.0,2.0
352,4.5,1.5092,5.5,1.4337
353,4.8,2.1499,4.0,2.0548
354,6.4,1.3499,7.1,0.99443
355,6.5,1.2693,5.1,1.912
356,5.6,1.4298,4.6,1.9551
357,6.5,1.2693,4.8,1.4757
358,4.2,1.6865,5.6,1.5055
359,3.7,1.7029,2.5,1.1785
360,5.5,1.6499,2.5,1.4337
361,3.3636,1.6895,2.5455,1.3685
362,5.9,0.8756,4.0,1.7638
364,6.5,1.1785,5.5,1.5092
365,7.1,0.8756,6.0,1.633
366,6.1,1.3703,6.9,0.99443
367,2.7,0.67495,3.1,1.6633
368,6.1,1.6633,4.8,1.9322
369,3.4,0.84327,2.9,0.73786
370,3.4,1.8974,3.8,1.9889
371,6.6,1.075,5.2,1.6865
372,4.8,1.8135,3.6,1.2649
374,4.9,1.1972,7.0,1.0541
375,2.8,1.7512,1.9,0.73786
376,5.9,1.1972,5.0,1.5635
378,5.9,1.7288,5.5,1.9003
379,2.9,1.1972,1.9,0.99443
380,4.8,2.1499,5.6,1.3499
381,6.7,1.1595,6.0,1.7638
383,3.6,1.6465,4.2,2.201
384,4.1,1.6633,3.6,1.4298
386,5.5,1.8409,5.0,1.1547
387,6.2,2.6583,6.2,2.3944
390,6.2,0.63246,5.7,1.0593
391,6.1,0.99443,5.5,1.6499
392,4.8,1.5492,3.4,1.7764
393,6.4,0.69921,6.0,0.8165
395,6.2,1.4757,6.7,1.3375
397,7.0,1.4142,7.0,1.3333
399,7.0,1.0541,6.7,0.94868
400,5.6,1.1738,5.1,1.792
401,6.4,1.2649,5.5,1.5092
402,7.1,0.99443,7.1,1.1005
403,5.2,1.7512,5.1,1.7288
404,6.8,1.3984,6.9,1.4491
405,7.4,0.96609,6.1,2.0248
406,4.3,2.3118,5.3,2.2136
407,4.5,1.7159,4.3,1.767
408,6.1,2.1318,6.6,2.5033
410,5.1,1.792,3.8,2.0976
415,5.2,1.9322,6.0,1.1547
416,5.2,1.6865,5.5,1.8409
419,4.0,1.4907,3.3,2.1108
420,5.4,1.3499,4.5,1.354
422,3.7,2.5841,2.8,1.8135
423,4.5,2.4152,5.2,2.6162
425,6.8,0.91894,7.1,0.73786
426,5.3,1.4944,5.3,1.767
427,5.8,0.78881,5.2,1.5492
428,6.6,0.96609,6.6,1.075
429,4.3,2.0028,3.3,1.1595
430,2.9,1.1005,4.0,2.357
431,5.5,2.0138,6.1,1.8529
432,5.3,1.767,5.3,2.1108
435,5.9,1.5951,4.5,1.8409
436,5.2,1.9322,4.3,2.1108
437,4.3,2.2136,5.2,1.9322
440,6.3,1.8288,5.3,2.2632
441,5.1,1.5951,4.6,1.7764
442,4.5,1.6499,4.1,1.9692
444,2.5,1.2693,2.3,1.1595
445,4.6,1.7127,2.4,1.075
448,6.3333,2.1213,6.5556,2.1279
449,3.8,1.9322,3.6,2.1705
450,5.0,1.8257,4.1,2.1318
451,4.4,1.8974,4.9,1.3703
452,6.8,0.91894,5.6,1.6465
453,5.6,1.2649,4.6,1.8974
454,4.8,1.5492,5.0,2.582
455,5.7,1.2517,5.4,1.8379
456,2.3,1.3375,6.1,2.846
458,5.0,1.8856,3.4,1.7764
459,6.1,1.2867,6.3,0.82327
460,3.8,1.8135,3.8,2.201
461,4.4,1.6465,4.8,1.4757
462,4.6,2.1705,5.8,1.7512
463,5.7,1.767,5.0,2.1602
464,5.6,1.5776,5.1,1.2867
466,5.9,1.2867,6.6,1.6465
467,6.8,1.2293,5.7,2.3118
468,3.4,2.2706,3.6,1.7127
469,5.3,0.94868,5.1,1.6633
472,5.2,1.6193,6.5,2.2236
473,5.5,2.3214,7.1,1.2867
475,5.0,2.1082,5.6,2.1187
477,7.2,1.2293,7.1,1.5951
478,3.2,1.1353,2.8,1.2293
479,5.7,0.94868,4.5,1.9003
480,4.1,1.1972,2.7,1.7029
481,4.7,2.0575,3.4,1.6465
482,3.5,2.3214,1.9,0.73786
484,6.5,1.354,6.4,1.3499
485,3.7,1.4944,2.6,0.96609
486,5.7,1.7029,6.2,1.9322
487,5.3,1.2517,4.5,1.6499
488,3.4,1.3499,1.6,0.84327
489,5.2,1.8738,4.6,1.8379
490,3.7,1.767,3.9,1.5951
492,4.8,1.8135,4.4,2.0111
493,4.9,1.1972,3.7,1.6364
494,4.1,1.792,3.7,1.7029
496,5.9,1.912,4.7,2.2632
497,5.7,2.3594,6.2,1.6193
498,2.8,1.5492,2.9,1.9692
499,3.6,1.6465,3.6,1.6465
500,5.2,1.7512,6.0,1.8856
501,4.4,0.96609,2.5,1.1785
502,4.6,1.7127,4.8,1.8738
503,6.4,1.075,5.8,1.7512
504,4.0,0.8165,4.8,0.91894
506,4.1,1.4491,2.9,0.99443
507,4.8,1.2293,4.9,1.1972
512,5.4,2.0111,5.1,1.792
513,4.2,1.5492,3.1,1.7288
514,5.8,1.9889,4.3,1.9465
515,3.4,1.2649,3.8,1.4757
518,3.4,1.1738,4.1,1.792
519,5.3,1.8886,6.8,1.9322
520,5.5,1.4337,4.0,1.633
521,4.6,2.1705,3.8,1.6193
522,2.7,0.94868,3.5,2.2236
523,5.9,1.9692,5.1,1.792
524,4.0,1.1547,3.3,1.3375
525,4.8,2.0976,4.3,1.6364
527,5.7,2.0575,4.0,1.7638
529,5.8,1.2293,4.7,1.6364
530,3.5,1.6499,3.3,1.4944
535,6.5,1.7795,6.1,2.1318
536,4.5,0.84984,5.1,1.4491
537,2.6,1.8974,5.0,2.582
540,4.4,1.5776,4.1,1.9692
544,4.5,1.8409,4.8,2.2509
547,4.8,2.201,3.4,1.9551
550,5.9,1.9692,4.2,1.8738
551,4.0,1.4907,3.2,1.5492
554,5.0,2.4944,2.8,2.3944
555,4.8,1.7512,5.2,1.6865
556,6.1,1.7288,5.6,2.1705
558,3.2,1.7512,2.8,1.9322
560,4.6,1.7127,2.9,1.2867
561,7.0,0.94281,6.9,0.73786
564,4.9,1.7288,4.7,1.767
565,3.0,1.0541,3.1,1.5951
568,3.1,1.4491,5.4,1.5776
574,4.8,2.044,4.5,2.1731
577,5.5,1.354,5.6,1.6465
579,3.2,1.3984,3.1,2.0248
580,4.4,1.3499,2.4,1.075
581,6.0,1.0541,5.3,1.2517
582,4.9,1.7288,3.1,1.4491
584,2.4,0.84327,2.5,1.1785
585,4.2,1.7512,4.0,1.4907
586,5.9,0.73786,5.2,1.4757
591,6.2,2.201,5.7,1.767
592,5.0909,2.2115,5.4545,1.1282
594,3.1,1.5951,4.2,1.9322
597,6.4,0.84327,4.8,1.8738
598,5.6,1.075,4.0,1.6997
600,4.0,2.2111,3.5,1.9003
605,6.0,1.633,4.4,1.8379
606,5.6,1.5776,4.1,1.8529
607,6.1,1.3703,4.4,1.8379
608,3.8,1.9889,2.9,1.7288
609,5.5,1.6499,4.9,2.1318
610,6.5,1.8409,6.3,1.4181
611,4.8,1.8135,5.1,1.6633
612,6.6,0.5164,5.6,1.2649
613,6.8,1.4757,5.2,2.2998
614,3.7,1.4181,4.3,1.567
615,5.0,0.8165,3.2,1.8135
616,5.0,1.2472,3.5,1.5092
617,3.0,1.4142,6.5,1.7795
620,4.4,1.6465,5.8,1.3166
621,4.4,1.1738,2.9,1.2867
622,5.0,1.8856,4.5,2.2236
623,5.9,1.6633,3.8,1.7512
625,4.4,1.2649,3.1,1.5239
628,6.8,1.7512,4.9,2.1833
629,7.6,0.84327,7.4,0.96609
631,3.1,2.4698,7.6,1.5776
632,5.4,1.8974,4.2,2.201
634,5.8,1.6193,4.7,2.4518
635,7.6,1.075,6.6,0.96609
637,3.6,2.0656,2.2,0.91894
638,4.4,1.7127,3.2,1.5492
639,6.3,1.1595,6.1,0.99443
640,7.8,0.78881,7.6,0.84327
643,4.2,1.8135,3.5,1.1785
644,5.6,2.0656,4.3,1.7029
645,5.7,1.767,4.6,2.0111
646,3.8,1.4757,3.1,1.3703
647,5.8,0.91894,3.0,1.0541
648,6.8,1.6193,5.1,2.1833
649,6.7,0.67495,6.2,1.0328
650,4.2,1.7512,6.0,1.0541
651,7.1,0.73786,6.4,1.075
652,4.1111,1.6915,2.7778,1.3017
653,6.5,1.0801,5.3,2.1108
654,4.4,1.7764,5.1,1.912
656,4.1,1.5239,2.6,1.1738
657,5.6,0.84327,5.1,0.99443
658,5.7,1.3375,4.4,1.6465
660,2.8,1.4757,2.1,1.1972
661,2.8,1.7512,2.2,1.8135
662,5.1,2.2336,5.9,1.2867
663,4.3,1.567,3.3,1.8886
664,6.6,1.5055,7.0,1.0541
665,6.2,1.6865,5.7,1.8288
666,5.0,2.0,5.3,1.4944
667,4.9,1.2867,4.2,1.4757
668,5.3,1.7029,5.0,1.633
671,3.7,1.6364,3.1,1.5951
672,6.3,1.8288,4.4,2.4585
673,6.7,1.4181,6.6,1.3499
674,7.4,1.4298,6.8,1.3984
675,5.8,1.3166,5.1,1.5239
676,6.6,2.5033,6.6,2.5033
677,5.3,1.8886,6.5,2.0138
681,6.6,1.8379,4.9,2.2336
682,6.0,0.8165,4.8,1.3984
684,4.9,1.5239,4.3,1.7029
685,3.6,2.1187,4.5,2.1213
686,5.5,1.5092,3.4,1.6465
687,7.4,0.96609,7.3,1.1595
688,5.0,1.6997,4.3,1.4944
689,4.6,1.5055,3.8,1.7512
690,4.4,2.1705,2.4,2.1187
691,3.7,1.3375,5.0,1.6997
692,6.1,1.792,6.9,1.4491
693,5.3,2.0575,6.2,1.6865
695,6.2,1.8135,5.9,1.6633
696,5.8,2.3476,5.3,2.3594
697,5.8,1.1353,4.8,1.6193
698,3.7,1.7029,3.9,2.0248
699,4.5,1.5811,3.7,1.8886
700,5.6,1.4298,4.8,1.4757
702,3.3,2.0575,7.5,1.5092
703,6.0,1.6997,5.1,2.1318
704,4.2,1.4757,4.1,1.1005
706,6.0,0.94281,5.5,0.84984
707,3.1,1.912,3.2,2.6583
708,3.2,1.6865,3.2,2.2998
709,5.0,1.8856,5.8,1.5492
710,5.1,1.3703,5.4,1.4298
711,3.1,1.1972,2.9,1.1972
712,5.3,1.4944,3.4,1.1738
713,6.3,2.1108,4.9,2.2828
714,4.8,1.8738,4.4,1.8974
715,4.3,1.767,2.9,1.4491
717,4.9,1.2867,4.5,1.354
718,6.5,1.7159,5.9,1.6633
719,7.2,1.2293,7.1,1.1972
721,5.5,1.0801,5.7,1.8886
722,7.0,0.66667,5.7,1.6364
723,7.2,1.1353,6.5,1.8409
724,6.1,1.1005,6.0,1.0541
725,5.1,1.5239,5.1,1.792
726,3.6,1.8379,7.0,2.2608
727,4.5,1.9579,4.3,1.767
728,7.5,1.2693,6.9,1.8529
729,3.5,1.6499,6.4,1.075
730,4.5,1.0801,3.7,1.7029
731,5.8,1.8738,7.3,1.7029
732,6.3,0.94868,5.6,1.8379
733,5.0,1.5635,4.3,1.4944
734,6.3,1.6364,5.7,1.8886
735,4.9,0.99443,4.3,1.0593
736,3.7,0.94868,2.7,1.4944
737,4.9,1.2867,4.1,0.99443
738,6.2,1.3984,5.5,1.5092
739,6.9,0.99443,6.2,1.6193
740,4.0,1.4142,3.7,1.8886
741,4.4,1.5776,4.6,1.5776
742,6.5,1.7159,6.1,2.2336
743,5.0,2.0548,3.1,1.5239
744,5.5,1.1785,6.1,1.3703
745,1.6,0.69921,4.2,1.1353
746,4.6,2.0111,3.7,1.8288
747,4.9,1.2867,3.6,1.4298
748,4.4,1.6465,5.1,2.0248
749,4.9,1.4491,4.2,1.3166
750,5.7,2.0028,5.3,2.1108
756,6.8,0.78881,5.9,1.9692
757,6.1,1.4491,6.0,1.3333
758,5.9,1.1005,4.8,1.9889
759,5.9,1.1972,6.7,0.94868
763,5.5,1.4337,3.5,1.5092
764,7.5,0.97183,6.3,1.7029
767,6.5,0.52705,5.2,1.3166
769,5.0,2.1602,6.2,1.7512
773,4.7,2.1108,4.5,1.8409
775,4.4,1.5776,3.7,1.6364
776,4.5,2.3214,3.5,1.8409
777,5.1,2.2828,6.2,2.2509
779,5.3,1.4944,2.8,1.5492
780,6.2,1.6193,5.8,1.4757
781,6.3,2.2136,4.9,2.1318
782,4.7,2.5841,7.2,1.4757
784,5.7,1.4181,4.7,1.767
787,6.3,1.7029,6.1,1.912
789,5.2,2.044,3.9,2.3781
790,5.4,1.5055,7.2,1.3166
791,4.6,1.7764,2.7,1.3375
794,4.2,1.1353,2.5,1.0801
795,3.5,1.1785,2.2,1.0328
796,5.1,1.9692,5.2,2.3944
797,5.4,1.9551,4.9,2.2336
798,5.9,1.8529,6.5,1.5092
799,5.6,0.69921,4.1,1.2867
800,4.5,1.9579,4.5,1.7159
801,3.5,2.2236,3.3,2.1108
804,6.8,0.63246,6.9,1.1005
805,3.5,1.4337,2.2,1.0328
806,6.6,1.8974,6.4,1.7764
807,6.5,0.97183,4.8,1.6865
808,4.3,1.9465,3.1,1.5951
810,6.6,0.69921,6.5,1.6499
811,4.9,1.4491,4.1,1.5239
813,6.7,1.0593,6.2,1.2293
814,5.3,1.7029,6.1,1.4491
815,5.9,0.99443,5.5,1.6499
818,6.8,1.4757,5.9,1.3703
819,5.7,1.4944,4.0,1.9437
820,6.4,1.4298,6.4,1.5055
823,4.8,1.2293,4.8,1.6193
824,7.0,1.0541,7.2,1.4757
825,5.7,1.2517,4.1,2.331
826,4.7,1.4181,4.0,1.633
829,4.5,1.4337,2.3,1.0593
830,5.9,1.5239,5.3,1.567
831,6.2,0.78881,5.2,1.2293
833,5.8,1.2293,5.0,1.633
834,4.3,1.8886,4.7,1.8288
836,5.7,2.0028,7.1,1.1972
839,4.4,1.8379,5.7,1.4181
841,4.7,1.2517,4.2,1.4757
844,3.4,1.2649,3.8,2.0976
845,4.0,1.8257,5.1,1.9692
846,5.5,1.1785,6.0,1.1547
848,2.7,1.1595,2.2,1.3984
850,2.7778,0.97183,3.3333,1.9365
851,4.4,1.075,5.0,0.8165
852,4.7,2.1628,4.5,1.5811
854,3.8,1.5492,2.9,1.3703
855,4.5,1.4337,2.9,1.9692
856,5.6,0.84327,6.7,0.94868
857,5.3,2.0575,4.9,1.9692
858,4.5,2.3214,4.4,2.1187
859,5.1,2.1318,3.6,2.1187
860,6.7,1.3375,6.6,0.96609
863,7.0,1.0541,6.4,1.1738
864,5.9,1.1005,5.7,1.1595
865,4.6,1.5776,2.8,1.8738
866,5.1,1.6633,5.8,1.2293
867,6.5,2.1213,5.8,1.9322
869,4.1,2.0248,2.6,1.7764
871,6.0,1.9437,6.4,1.4298
872,5.5,1.9003,3.4,1.7127
873,7.0,0.8165,6.8,1.0328
874,4.4,2.0656,6.3,1.567
876,6.7,1.767,6.3,2.3118
879,6.0,1.3333,5.6,1.075
880,3.8,1.7512,4.9,2.2336
882,5.2,1.5492,5.3,1.767
884,5.0,1.5635,5.5,2.0683
886,5.4,1.4298,5.9,0.99443
887,5.6,1.5055,5.1,1.7288
889,7.2,1.6193,6.9,1.792
890,4.7,1.767,3.6,1.6465
891,5.5,1.0801,3.4,1.5055
892,2.9,1.1972,3.9,2.1318
893,3.3,2.1628,7.3,1.9465
897,4.3,1.4181,4.9,1.4491
898,5.5,2.0138,6.4,2.0111
899,6.3,1.6364,5.3,1.8886
902,3.3,1.6364,7.0,0.8165
903,5.6,1.2649,5.9,1.1972
904,4.2,1.8135,5.7,1.2517
908,4.9,1.7288,5.5,1.1785
909,5.5,2.3214,6.0,2.0
910,6.6,1.8379,7.0,1.633
911,4.0,1.5635,7.1,1.2867
913,3.3,1.6364,4.8,2.044
915,5.2,1.6193,5.0,2.0
921,6.1,1.3703,5.9,1.1972
924,6.2,1.4757,5.4,1.8974
925,5.7,1.7029,4.9,1.5951
926,5.5,1.0801,4.0,1.6997
928,4.0,1.8856,5.0,2.0548
931,6.5,1.8409,6.3,2.3118
932,4.9,1.8529,4.5,1.4337
934,6.4,1.7127,6.2,1.8738
936,4.7,1.767,5.4,1.6465
938,4.2,1.3984,7.3,0.82327
939,2.7,1.1595,6.2,1.4757
941,5.9,1.792,7.2,1.0328
